hub_id,betweenness,closeness,pagerank,clustering,in_degree,out_degree,weighted_in,weighted_out,sla_breach_score,inbound_breach_score,bottleneck_rank
IND000000ACB,0.28269252620797447,0.14710318599934546,0.019152946460914345,0.006595000491227179,41,48,693,777,591.3038709843869,508.5062293260606,1.0
IND562132AAA,0.22432103209319734,0.14201338160301083,0.014332471909590678,0.008165145457663652,36,35,511,574,430.87932096708124,385.14922504651724,0.9991498740554157
IND421302AAG,0.06896672284505809,0.13390984884980092,0.0089505553902593,0.012430034195913441,27,27,411,550,515.4419509156262,368.0231534671163,0.9980163727959698
IND501359AAE,0.10154462765327682,0.1345029756204411,0.012499663869590621,0.0070094761383304284,30,27,298,251,221.94216606984807,261.204572875536,0.9977015113350126
IND160002AAC,0.07622462139180972,0.124715823216204,0.010494724620697752,0.005256506965921519,30,28,322,296,230.22578055660028,265.7656853448553,0.9976385390428212
IND712311AAA,0.12002787465305671,0.13126363171945749,0.008200403270859509,0.008537665668180679,19,21,157,212,197.97832190665102,150.1667839685784,0.9966939546599497
IND411033AAA,0.05729083481725336,0.12791102834362197,0.00832954551596965,0.010750398480335004,22,19,263,318,253.98968604435012,225.5017395010534,0.9960327455919394
IND131028AAB,0.06042395217764768,0.1304259354190878,0.006354323415746643,0.006208287532561277,19,18,262,200,136.43587154131725,194.65197967617792,0.994301007556675
IND110037AAM,0.06456383081007333,0.1259023542162858,0.005237573514395276,0.011655395723674477,19,22,132,185,166.50069963901967,117.14039361363581,0.9941435768261965
IND600056AAB,0.04977548508491519,0.1258396406672956,0.005966034872034492,0.010787184055394222,18,18,186,222,190.53416116505582,164.69024985034136,0.9941120906801008
IND382430AAB,0.04202334383003136,0.11813030265653383,0.004285742586560248,0.00764150019749243,16,12,168,201,172.1921493334414,155.3019086147009,0.9923803526448363
IND209304AAA,0.04498562166912596,0.11951970281467177,0.00577200917833568,0.0036132382405353646,15,13,109,138,104.83533200201931,95.70647291201719,0.9914357682619648
IND781018AAB,0.06401396593221564,0.1081770041846592,0.004786882451419524,0.006351714349227555,15,14,70,72,62.57568914070851,60.9626984126984,0.9903022670025188
IND842001AAA,0.02377212073824922,0.11447827353542449,0.003708275391752117,0.011553254871112065,10,15,88,122,115.20532691669433,84.42958109986102,0.9895780856423174
IND462022AAA,0.03539159199390381,0.12904628570052418,0.004356292811770819,0.011663560024933087,13,9,89,74,66.3602413568167,78.91141747383809,0.9888853904282117
IND302014AAA,0.05912398261092054,0.12428049361275081,0.0031934697467201133,0.010977639177951729,10,7,69,61,52.07831122688133,63.093091784056135,0.9877833753148615
IND751002AAB,0.028390350030314083,0.12638084298861152,0.0027906536433449838,0.021864556598622926,12,6,73,62,56.71314117585794,64.22922672163045,0.9860831234256926
IND530012AAA,0.02485834225274555,0.10995775853249475,0.0028640576937834623,0.010003510177851485,9,10,51,52,45.51268895801164,48.82617437034275,0.9842569269521411
IND400072AAB,0.010661975333951534,0.10157142812345162,0.0031223484152597637,0.019598331772662653,11,9,159,188,185.9,154.6829318394024,0.9840680100755668
IND683511AAA,0.04310877074210304,0.11605453500245956,0.002369512034476808,0.005329549412227317,11,7,65,63,43.968346456692906,53.96168811086857,0.9835642317380352
IND000000ACA,0.01097902170138682,0.09706908470619521,0.0037871476922518594,0.020249886109172836,12,9,105,106,96.06069476971116,85.08954342026595,0.9829030226700252
IND521225AAB,0.01684318759530263,0.12085159688979646,0.002600808750000326,0.01957774323511634,7,7,46,51,45.79166666666667,42.3432114522137,0.9815806045340052
IND518002AAA,0.013915077660467973,0.11661032895703818,0.0026955027304682356,0.017700106478487167,9,7,49,58,52.494565217391305,40.481100459823864,0.9805730478589421
IND580028AAA,0.012023923889801358,0.11216518850307221,0.003093294044406519,0.015569449975412528,8,7,48,58,55.730000000000004,45.48684210526316,0.9802896725440806
IND395023AAA,0.013591674473635488,0.12189161411590409,0.0019475281302644323,0.035069356390362814,7,8,62,71,64.04656592516906,55.67054434926776,0.9793136020151133
